Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2020,50-59,Female,42.53,46.64,Middle,10,No,7,6,Yes,7,Yes,1,3
2021,40-49,Female,37.39,24.93,Low,8,Yes,6,8,No,3,Yes,9,5
2020,25-29,Female,41.16,69.57,Low,6,No,2,2,Yes,3,Yes,2,1
2022,70-79,Both,13.69,20.88,Middle,10,No,7,9,Yes,4,No,1,5
2024,15-19,Male,13.06,12.47,High,4,Yes,4,1,No,2,Yes,9,1
2020,10-14,Female,40.44,28.98,High,4,No,9,10,No,7,Yes,2,2
2020,80+,Both,35.51,27.57,Low,8,Yes,8,2,No,4,Yes,3,4
2020,50-59,Male,40.52,45.41,Middle,2,Yes,5,6,No,2,Yes,9,1
2024,30-39,Both,16.97,28.08,Low,8,No,10,3,Yes,9,No,5,10
2021,60-69,Male,35.73,21.33,Middle,10,Yes,8,3,Yes,5,Yes,5,7
2021,10-14,Male,11.77,26.33,Middle,1,Yes,9,10,Yes,6,No,2,1
2022,70-79,Male,20.76,10.43,High,3,Yes,5,1,No,1,Yes,8,10
2021,50-59,Female,47.87,13.77,Low,4,No,8,4,Yes,3,Yes,2,5
2022,60-69,Male,9.71,52.63,High,3,No,2,1,No,1,Yes,9,10
2021,15-19,Female,11.04,11.78,High,9,Yes,10,9,Yes,9,No,8,2
2021,40-49,Female,17.34,40.36,High,5,Yes,3,2,Yes,9,Yes,8,10
2021,60-69,Male,37.22,31.07,High,2,No,7,1,Yes,7,Yes,9,10
2024,15-19,Both,14.24,45.4,High,4,No,8,6,No,5,No,3,5
2024,60-69,Female,46.34,42.91,Low,5,Yes,8,4,Yes,4,Yes,2,9
2022,70-79,Both,39.29,31.8,High,6,Yes,4,5,Yes,3,Yes,4,3
2020,60-69,Male,40.84,58.14,Low,8,Yes,10,10,No,3,No,2,1
2024,60-69,Male,22.17,39.6,Middle,6,Yes,6,6,No,6,Yes,8,8
2024,40-49,Both,49.93,10.93,Middle,1,No,3,4,No,6,No,6,4
2022,70-79,Female,7.18,54.74,Middle,6,No,6,4,Yes,3,No,9,1
2022,25-29,Female,43.13,48.42,High,2,Yes,1,6,Yes,6,Yes,8,2
2022,80+,Male,49.86,20.34,Middle,8,No,2,4,Yes,9,Yes,8,8
2024,25-29,Male,42.02,12.71,Middle,3,No,4,3,No,7,Yes,7,8
2023,25-29,Female,5.98,11.51,Middle,2,Yes,4,1,Yes,8,No,10,4
2020,10-14,Both,30.98,54.16,High,4,Yes,4,10,No,1,Yes,4,6
2020,30-39,Both,33.52,61.93,Middle,7,Yes,4,4,Yes,8,Yes,6,10
2024,30-39,Both,45.07,44.63,Low,1,No,2,9,No,9,No,2,7
2023,50-59,Female,42.31,59.51,Middle,8,No,8,5,Yes,9,Yes,5,6
2022,60-69,Female,11.39,68.82,Middle,2,No,6,3,Yes,2,Yes,8,9
2023,40-49,Both,7.86,35.86,Middle,3,No,6,7,No,7,No,9,7
2023,60-69,Both,5.12,20.9,High,3,No,6,3,No,8,Yes,1,8
2021,20-24,Female,19.19,18.41,Low,9,Yes,2,4,Yes,7,No,2,9
2024,70-79,Male,36.23,26.28,Low,7,No,5,4,No,8,No,5,9
2021,60-69,Female,31.83,40.98,Low,5,Yes,2,9,No,7,No,3,4
2024,30-39,Male,46.28,55.63,Middle,6,No,5,1,Yes,8,No,9,9
2020,20-24,Male,35.39,48.54,High,7,No,6,2,Yes,10,Yes,6,7
2023,30-39,Both,30.46,30.64,Low,9,No,7,6,Yes,3,No,5,6
2024,10-14,Female,38.91,59.32,High,10,Yes,9,2,No,1,No,8,7
2024,15-19,Male,19.55,67.54,Low,6,Yes,8,2,No,4,Yes,4,4
2020,10-14,Male,8.81,62.74,High,2,No,10,1,Yes,3,Yes,7,4
2023,10-14,Both,31.87,69.93,Middle,2,Yes,5,9,Yes,8,No,10,10
2022,50-59,Male,37.14,63.03,Low,7,No,9,7,No,4,Yes,4,1
2023,20-24,Both,16.66,23.83,Middle,1,Yes,8,4,Yes,3,No,8,1
2024,50-59,Male,42.91,38.82,High,3,No,10,10,No,4,Yes,10,10
2021,25-29,Both,38.58,48.87,High,5,Yes,5,6,No,10,Yes,2,5
2022,30-39,Both,41.6,50.58,High,9,No,6,3,No,10,Yes,7,6
2024,15-19,Female,40.35,65.44,Low,10,Yes,3,7,No,10,Yes,9,1
2023,60-69,Female,28.79,15.66,Middle,2,No,6,8,No,5,No,4,3
2024,20-24,Male,39.42,23.11,Low,2,Yes,10,5,Yes,9,Yes,7,1
2023,30-39,Both,45.4,35.57,High,4,Yes,5,1,No,5,No,7,8
2023,70-79,Female,23.76,67.04,Low,5,Yes,8,10,No,2,Yes,7,1
2022,10-14,Female,37.41,28.13,Low,9,No,3,7,Yes,7,No,9,4
2024,15-19,Female,5.2,43.35,High,2,No,6,4,Yes,9,No,6,8
2022,25-29,Female,12.13,17.52,Low,1,Yes,6,9,Yes,5,No,5,7
2022,60-69,Both,35.0,49.06,Low,1,No,3,9,Yes,7,No,7,4
2022,80+,Female,21.95,64.8,High,10,No,6,1,Yes,5,No,2,9
2021,30-39,Both,19.63,53.1,Middle,3,Yes,3,9,No,1,No,8,5
2022,60-69,Both,15.68,18.64,High,7,No,10,4,No,10,Yes,7,7
2024,80+,Male,32.95,57.83,Middle,1,No,1,3,No,8,No,1,10
2024,70-79,Female,6.73,17.27,High,3,No,1,7,No,6,Yes,6,2
2024,40-49,Both,19.82,42.09,Low,1,Yes,3,1,No,10,No,4,3
2020,25-29,Male,14.56,62.88,High,3,Yes,4,3,No,8,Yes,6,5
2023,20-24,Female,16.72,65.84,Middle,5,No,5,4,No,6,Yes,9,4
2024,80+,Both,20.68,42.06,High,4,No,9,3,Yes,1,Yes,1,6
2024,20-24,Both,31.6,63.3,Low,6,Yes,2,9,No,5,No,5,4
2022,15-19,Male,29.46,42.08,High,5,Yes,7,4,No,7,No,5,8
2021,80+,Male,12.48,62.82,High,1,No,4,10,No,5,Yes,8,5
2022,20-24,Female,11.99,33.41,Low,5,No,6,3,No,5,No,7,1
2024,80+,Both,13.06,16.66,Low,6,No,4,1,No,2,Yes,3,3
2024,70-79,Male,6.63,43.11,High,1,Yes,3,5,Yes,4,Yes,1,3
2021,15-19,Both,25.72,37.77,Low,8,No,10,2,No,8,Yes,8,6
2022,20-24,Both,40.05,12.94,Low,1,Yes,9,9,Yes,2,No,3,1
2021,20-24,Male,43.4,24.02,Low,6,No,6,9,Yes,6,Yes,7,1
2024,30-39,Both,40.37,10.27,High,1,Yes,3,8,Yes,1,Yes,1,10
2021,50-59,Female,21.29,48.84,High,3,Yes,2,8,No,10,Yes,5,1
2020,80+,Both,35.47,50.39,Low,5,Yes,1,4,Yes,9,No,2,9
2024,60-69,Male,32.64,46.35,Middle,8,Yes,3,4,Yes,8,No,5,3
2024,25-29,Male,30.03,58.76,Middle,7,No,8,8,Yes,4,No,1,4
2020,40-49,Female,26.7,15.91,Low,7,No,7,3,No,10,No,8,1
2020,80+,Female,30.11,63.64,Low,7,No,3,4,No,5,Yes,7,7
2023,30-39,Male,34.95,18.78,Low,3,No,9,1,Yes,2,Yes,8,10
2020,80+,Male,29.28,66.02,Middle,7,Yes,1,7,No,7,Yes,6,10
2023,40-49,Male,29.01,30.26,Middle,3,Yes,7,4,No,6,Yes,1,1
2023,50-59,Male,30.69,52.68,High,5,Yes,10,2,Yes,1,No,7,1
2022,40-49,Male,11.12,56.22,Low,9,Yes,5,6,No,7,Yes,7,10
2024,40-49,Female,32.51,61.48,Low,7,Yes,8,5,Yes,8,Yes,6,6
2023,70-79,Both,33.66,13.68,Low,6,Yes,8,4,No,5,No,9,8
2022,15-19,Both,27.52,16.93,Middle,8,Yes,1,6,No,5,No,7,1
2021,70-79,Both,45.05,33.52,High,7,Yes,5,7,No,2,Yes,6,8
2020,70-79,Female,32.15,27.36,Middle,5,No,7,10,No,4,Yes,10,4
2022,15-19,Both,13.74,54.33,Middle,8,Yes,7,1,No,1,No,2,1
2023,40-49,Female,35.18,61.05,Low,8,No,9,5,No,4,Yes,3,5
2024,20-24,Female,22.43,24.2,Low,9,No,5,6,Yes,2,No,6,7
2020,70-79,Both,22.78,14.24,High,9,Yes,7,6,Yes,2,Yes,1,4
2023,70-79,Male,38.76,52.37,Low,7,No,7,4,Yes,4,Yes,4,4
2021,70-79,Female,25.77,40.08,High,10,Yes,1,7,No,4,Yes,7,4
2020,25-29,Both,14.54,50.31,High,8,Yes,4,1,No,5,No,3,8
2022,15-19,Both,22.21,66.67,Low,5,No,5,7,Yes,2,Yes,4,1
2022,50-59,Male,34.75,36.81,Middle,9,No,9,1,No,5,Yes,9,6
2020,15-19,Male,9.45,55.12,High,5,No,10,7,No,10,No,3,9
2023,40-49,Male,8.51,23.15,Low,6,Yes,8,7,No,7,No,10,9
2020,70-79,Both,37.17,30.31,Low,6,Yes,2,9,No,5,Yes,7,2
2023,20-24,Both,16.43,44.74,High,2,No,8,1,Yes,7,No,4,4
2020,20-24,Male,30.27,62.63,Low,5,No,8,9,No,1,No,5,2
2023,70-79,Female,12.86,40.49,Low,3,No,2,8,Yes,9,Yes,7,2
2021,20-24,Male,38.59,34.13,Middle,4,No,1,4,No,6,No,10,3
2022,25-29,Female,45.15,37.07,High,8,No,5,4,No,3,Yes,10,3
2021,60-69,Male,48.47,51.14,Middle,7,Yes,2,4,No,7,Yes,1,6
2021,25-29,Female,25.49,58.42,Low,3,Yes,6,6,No,7,No,3,2
2021,70-79,Both,5.04,14.31,Low,1,Yes,7,2,No,4,Yes,7,1
2020,60-69,Both,23.46,66.8,Low,6,No,5,6,Yes,6,Yes,4,10
2024,40-49,Both,15.23,69.08,High,1,Yes,4,1,No,3,No,10,10
2024,70-79,Female,32.79,55.01,Middle,6,No,4,9,Yes,3,No,2,7
2022,20-24,Both,16.99,52.54,High,4,No,5,6,Yes,8,Yes,6,6
2024,70-79,Female,31.2,40.32,Middle,3,Yes,10,8,Yes,1,Yes,3,1
2024,30-39,Female,5.94,17.32,Low,7,Yes,5,7,No,6,Yes,5,1
2024,20-24,Both,42.8,59.76,Middle,8,Yes,8,7,No,6,No,8,10
2023,30-39,Both,33.65,67.95,Middle,7,Yes,9,3,Yes,3,Yes,7,1
2020,10-14,Male,32.51,44.04,Low,6,No,7,6,Yes,1,Yes,1,1
2020,10-14,Male,44.53,52.07,Middle,6,Yes,5,1,Yes,4,Yes,6,8
2022,30-39,Female,10.09,64.44,High,7,No,5,7,No,10,No,10,5
2024,50-59,Male,16.87,55.52,Low,7,No,7,7,Yes,2,No,9,8
2024,30-39,Both,27.84,69.35,Middle,3,No,3,7,No,1,No,7,2
2022,20-24,Both,46.64,45.45,Middle,3,Yes,2,2,Yes,7,No,6,8
2023,10-14,Both,29.65,36.26,High,5,No,2,6,Yes,4,Yes,8,6
2024,80+,Female,31.07,53.96,Middle,9,Yes,2,8,No,3,No,2,1
2022,10-14,Male,45.33,49.37,High,6,Yes,2,8,No,4,Yes,10,8
2020,70-79,Female,34.27,15.59,Middle,7,Yes,2,8,No,7,No,5,3
2023,60-69,Male,31.75,61.59,High,9,Yes,3,6,No,4,No,9,9
2020,15-19,Female,36.04,43.43,High,9,Yes,5,6,No,3,No,5,6
2020,70-79,Female,41.42,43.41,High,10,Yes,2,10,No,9,No,10,5
2024,40-49,Female,34.36,44.69,Low,8,No,6,9,Yes,8,No,7,10
2023,70-79,Male,48.48,67.49,Low,7,No,5,2,No,7,Yes,5,3
2021,60-69,Female,6.37,33.54,Low,3,No,9,9,Yes,9,Yes,1,10
2021,15-19,Female,17.26,27.61,Low,10,Yes,6,4,No,7,Yes,2,1
2021,15-19,Female,25.9,14.31,Middle,9,No,7,5,Yes,4,Yes,3,9
2021,30-39,Male,15.31,45.82,Low,7,Yes,4,1,No,4,Yes,8,2
2024,25-29,Both,10.98,60.13,Middle,9,Yes,1,10,Yes,2,No,6,6
2022,20-24,Female,41.14,30.4,High,6,Yes,9,1,Yes,10,Yes,1,10
2020,25-29,Both,38.03,29.69,High,4,No,9,8,Yes,9,Yes,7,9
2023,60-69,Male,45.16,67.09,Low,10,Yes,10,2,No,3,Yes,10,6
2023,15-19,Both,10.85,27.21,Middle,3,No,6,9,No,8,Yes,6,7
2020,60-69,Male,12.56,24.01,Middle,10,Yes,3,3,Yes,6,Yes,5,6
2020,80+,Both,38.95,19.75,Low,4,Yes,5,6,Yes,5,Yes,2,10
2024,15-19,Male,34.4,18.95,High,10,No,3,3,Yes,3,Yes,7,1
2024,25-29,Female,48.27,46.14,Low,2,No,9,10,Yes,4,Yes,5,7
2020,20-24,Both,45.61,50.22,High,9,Yes,1,2,Yes,4,No,8,4
2021,40-49,Female,35.39,56.65,Low,8,Yes,9,4,No,9,Yes,8,4
2022,15-19,Both,6.34,65.84,High,6,No,9,3,No,3,No,8,7
2020,10-14,Male,28.54,35.98,Middle,8,Yes,7,9,Yes,2,Yes,5,1
2023,70-79,Female,31.12,47.52,Middle,9,No,8,5,Yes,5,No,3,9
2024,60-69,Male,30.02,46.97,Low,7,Yes,7,6,No,4,Yes,5,9
2023,60-69,Female,8.15,62.46,Middle,10,No,6,9,No,10,Yes,1,3
2021,15-19,Male,14.01,51.94,Low,4,Yes,3,4,Yes,4,No,2,5
2022,60-69,Both,24.58,38.92,Middle,3,Yes,8,9,No,4,No,5,6
2020,25-29,Female,22.12,53.94,Low,4,Yes,5,10,No,6,No,10,6
2022,15-19,Female,5.25,19.4,High,3,No,8,10,No,7,Yes,10,5
2024,40-49,Both,45.41,45.03,Low,7,No,3,1,Yes,4,No,8,8
2023,80+,Male,31.76,59.0,High,2,Yes,4,8,No,3,No,2,5
2020,25-29,Male,34.92,39.41,Low,7,No,7,4,Yes,3,No,4,5
2021,15-19,Both,7.71,34.04,Middle,8,Yes,1,8,Yes,8,No,9,9
2021,40-49,Both,43.17,29.52,High,5,Yes,8,10,No,9,Yes,1,10
2021,60-69,Male,12.37,28.43,High,10,Yes,7,3,Yes,1,No,1,10
2021,20-24,Male,30.06,15.29,Middle,4,No,8,4,No,9,Yes,10,5
2022,40-49,Female,25.36,28.99,High,1,No,1,4,No,8,No,6,6
2020,60-69,Both,12.76,60.32,Low,1,No,1,5,Yes,4,No,7,8
2024,70-79,Female,26.08,66.66,Middle,9,No,7,9,No,5,Yes,8,6
2021,40-49,Both,42.76,14.19,High,3,Yes,1,5,Yes,6,Yes,9,4
2023,40-49,Male,23.7,37.5,Low,3,No,5,8,No,1,Yes,9,8
2020,60-69,Male,13.68,50.16,Middle,5,Yes,3,8,Yes,4,Yes,8,5
2023,80+,Both,26.74,34.29,Middle,8,Yes,10,9,Yes,9,No,1,3
2021,20-24,Female,43.64,49.15,Low,2,No,8,7,No,3,No,5,1
2020,15-19,Both,30.67,43.9,High,3,No,9,7,Yes,7,Yes,7,2
2020,30-39,Male,35.77,58.99,Middle,8,No,6,2,Yes,4,Yes,5,6
2024,30-39,Both,11.01,41.32,High,7,Yes,5,7,Yes,10,No,8,5
2023,30-39,Male,34.94,21.43,Middle,10,Yes,10,6,Yes,8,Yes,7,7
2020,15-19,Female,22.65,45.75,Middle,1,Yes,4,5,No,4,No,10,3
2022,20-24,Male,38.2,54.35,Low,8,Yes,4,1,No,6,No,5,6
2022,80+,Both,48.69,46.08,Middle,10,No,10,4,Yes,8,Yes,8,6
2024,20-24,Male,17.25,42.56,Middle,8,No,9,7,Yes,5,No,1,2
2021,50-59,Female,22.79,16.45,High,6,Yes,5,6,Yes,8,Yes,6,4
2022,70-79,Female,47.87,14.96,High,1,No,9,9,No,6,No,2,4
2022,15-19,Male,33.76,66.32,Middle,10,Yes,1,4,Yes,1,No,9,5
2023,30-39,Female,45.17,47.1,High,2,No,4,3,Yes,1,Yes,2,8
2022,50-59,Both,20.21,35.65,Middle,3,No,1,2,No,6,Yes,8,10
2024,80+,Both,40.17,30.77,Middle,2,No,4,5,Yes,8,Yes,5,9
2021,30-39,Male,35.84,21.2,High,8,Yes,6,4,Yes,9,No,4,8
2022,30-39,Both,49.05,15.18,Low,2,No,5,9,No,6,Yes,2,8
2021,60-69,Female,47.61,32.95,High,5,No,5,10,No,7,No,9,9
2021,60-69,Female,42.24,29.8,High,10,Yes,4,4,Yes,3,No,3,8
2023,50-59,Female,46.68,65.86,Low,2,Yes,7,5,Yes,2,Yes,2,5
2022,70-79,Both,33.37,31.6,Low,8,Yes,3,6,No,6,Yes,2,1
2022,60-69,Both,23.13,39.78,Middle,9,No,5,10,No,1,Yes,2,8
2020,60-69,Male,40.0,62.44,High,7,Yes,6,5,Yes,7,Yes,4,10
2021,30-39,Both,15.57,22.05,High,6,No,4,4,Yes,6,Yes,3,7
2022,25-29,Both,46.54,56.26,Low,10,No,1,7,Yes,5,Yes,7,3
2022,60-69,Both,36.97,12.73,Low,1,No,6,2,Yes,6,Yes,10,4
2022,80+,Male,36.57,47.28,Middle,8,No,8,8,No,1,Yes,1,7
2022,40-49,Both,40.69,57.87,High,2,Yes,5,9,Yes,2,Yes,6,9
2023,25-29,Female,13.63,24.7,Middle,6,No,5,5,Yes,1,No,8,2
2022,20-24,Female,25.2,68.47,Low,3,Yes,5,10,Yes,7,Yes,2,5
2022,25-29,Male,20.12,24.74,Low,10,Yes,7,2,No,10,No,2,4
2024,70-79,Female,32.17,31.14,Middle,2,No,8,3,No,9,Yes,6,6
2024,25-29,Both,10.47,36.9,High,3,No,7,9,Yes,3,No,2,5
2024,40-49,Male,32.06,18.04,Low,4,No,5,1,No,4,No,10,3
2020,25-29,Both,46.31,43.68,High,5,No,3,9,No,8,Yes,5,10
2024,15-19,Female,47.26,45.04,Low,5,No,6,3,Yes,9,No,9,4
2023,60-69,Male,10.38,34.48,High,7,No,9,3,No,5,Yes,2,10
2022,30-39,Male,36.03,31.72,Middle,4,No,9,5,No,10,Yes,5,10
2024,25-29,Female,41.3,13.69,Middle,1,No,9,5,Yes,2,No,8,2
2020,10-14,Female,21.85,44.07,High,4,Yes,4,7,Yes,6,Yes,1,6
2022,50-59,Female,18.95,69.0,Middle,10,Yes,7,2,Yes,3,No,10,2
2023,30-39,Female,26.95,54.86,Low,10,Yes,7,2,Yes,1,No,3,7
2021,40-49,Male,40.38,16.23,Low,10,Yes,6,1,No,3,No,1,7
2020,10-14,Both,9.68,59.24,High,5,Yes,6,5,Yes,7,Yes,7,5
2023,10-14,Male,39.83,20.42,Low,2,No,9,6,No,9,No,8,1
2024,25-29,Female,19.77,21.14,High,10,Yes,7,5,Yes,6,No,6,3
2021,15-19,Female,17.83,16.05,Middle,9,No,8,5,No,2,No,3,8
2022,15-19,Female,47.71,57.27,Middle,7,No,9,1,Yes,6,Yes,6,1
2021,25-29,Female,13.07,14.62,Middle,2,Yes,1,7,Yes,9,No,7,10
2024,80+,Female,33.54,47.22,Middle,4,Yes,8,7,Yes,8,Yes,8,3
2023,50-59,Male,28.91,44.62,High,9,No,8,5,Yes,6,No,1,8
2022,80+,Both,35.1,22.24,High,2,No,2,1,Yes,4,No,1,5
2021,15-19,Both,39.1,38.97,Middle,2,Yes,6,4,Yes,9,Yes,9,4
2022,80+,Male,44.55,49.81,Middle,8,No,5,5,Yes,5,No,8,10
2022,40-49,Female,43.91,10.34,High,5,Yes,9,6,No,7,Yes,3,8
2020,15-19,Both,34.98,51.69,High,6,Yes,1,1,No,3,No,3,2
2024,40-49,Both,11.03,60.59,Low,9,Yes,7,1,No,9,No,5,3
2023,15-19,Female,20.02,69.34,High,5,No,7,9,Yes,10,Yes,8,10
2023,25-29,Female,8.18,51.3,Low,8,No,9,7,Yes,5,Yes,3,8
2023,20-24,Male,25.25,17.96,Low,8,No,2,9,No,3,No,10,8
2021,30-39,Male,23.4,36.71,Middle,5,Yes,1,9,No,2,Yes,7,5
2021,25-29,Female,11.95,36.21,Low,7,No,2,10,Yes,1,No,3,6
2021,10-14,Male,29.87,55.01,Middle,10,No,7,2,Yes,7,Yes,8,9
2021,10-14,Male,15.49,18.88,High,3,No,5,5,Yes,10,No,4,5
2024,80+,Male,39.27,23.85,Middle,4,Yes,2,8,Yes,6,No,6,6
2021,70-79,Male,49.19,16.92,Middle,10,Yes,3,1,No,4,Yes,5,5
2024,70-79,Male,29.75,62.95,Low,9,Yes,10,8,No,2,Yes,4,6
2023,70-79,Male,30.88,47.71,Low,9,Yes,6,9,No,8,Yes,8,3
2021,10-14,Both,30.58,23.96,High,2,Yes,3,7,No,5,Yes,3,10
2020,70-79,Both,20.83,12.93,High,7,Yes,5,9,No,2,Yes,3,10
2020,25-29,Male,13.05,19.89,Low,5,No,2,5,Yes,2,No,6,5
2024,40-49,Both,13.67,62.25,Low,2,No,6,2,No,6,No,7,5
2024,50-59,Female,46.2,14.22,High,8,No,1,2,No,8,Yes,2,1
2021,50-59,Both,21.68,22.36,Low,3,No,6,9,No,6,Yes,5,2
2020,10-14,Female,32.02,42.35,Middle,7,No,2,10,Yes,5,No,5,8
2023,15-19,Female,37.51,47.64,High,10,Yes,4,8,No,7,No,2,3
2020,30-39,Male,27.06,12.77,Middle,7,Yes,2,2,No,8,Yes,8,7
2020,30-39,Both,10.57,35.8,Middle,9,No,3,9,No,10,Yes,2,4
2023,10-14,Male,35.92,47.06,Low,5,No,9,4,No,1,Yes,3,8
2023,15-19,Both,33.25,38.0,Middle,5,No,8,3,No,5,Yes,5,8
2024,30-39,Male,20.35,15.83,High,1,Yes,3,5,Yes,4,No,8,2
2020,70-79,Both,26.31,23.89,High,3,No,2,10,Yes,1,No,5,7
2023,30-39,Female,35.14,25.21,High,4,No,9,9,Yes,7,Yes,3,1
2022,30-39,Male,31.68,24.31,Low,5,Yes,7,9,Yes,10,No,8,5
2022,80+,Male,39.67,30.48,Low,7,Yes,6,8,No,8,No,9,1
2020,40-49,Female,23.71,30.83,Low,3,Yes,1,10,Yes,4,No,9,7
2021,10-14,Female,34.97,18.66,Middle,6,Yes,10,5,No,4,No,8,3
2021,70-79,Male,19.0,45.36,Low,6,No,10,10,Yes,2,Yes,8,3
2021,20-24,Female,8.72,43.51,Low,3,No,3,10,No,7,Yes,9,4
2020,15-19,Female,44.37,28.78,Low,7,No,8,10,No,1,No,8,1
2024,50-59,Male,13.15,19.4,Low,6,No,4,5,No,10,Yes,9,4
2021,70-79,Both,27.76,43.76,Middle,4,Yes,9,1,Yes,3,No,9,1
2022,30-39,Female,18.11,10.54,Middle,2,No,8,7,Yes,5,No,10,9
2024,80+,Both,26.76,27.97,Low,2,No,1,4,Yes,9,No,1,6
2020,40-49,Male,39.27,26.28,Low,6,Yes,9,8,Yes,1,Yes,7,7
2020,70-79,Male,5.4,26.19,Low,4,No,3,1,No,5,Yes,3,6
2020,25-29,Both,33.92,35.87,Middle,4,No,5,7,No,4,No,8,1
2024,50-59,Male,30.97,38.42,High,10,No,4,1,Yes,10,Yes,10,5
2021,50-59,Female,43.05,68.26,Middle,8,No,1,5,Yes,3,No,2,3
2022,25-29,Both,45.89,59.77,Middle,4,Yes,7,5,Yes,8,Yes,2,1
2022,50-59,Male,33.23,56.62,Low,8,Yes,1,9,Yes,4,Yes,10,4
2022,15-19,Both,39.84,29.91,High,1,No,9,3,Yes,4,Yes,7,9
2023,40-49,Female,39.61,18.4,High,2,Yes,8,9,No,1,No,10,10
2023,60-69,Male,17.68,32.92,High,7,Yes,6,3,Yes,5,Yes,8,2
2023,15-19,Both,15.61,38.6,Low,9,Yes,3,1,No,3,No,1,7
2020,15-19,Both,49.26,69.89,High,9,No,2,1,No,6,No,10,3
2022,80+,Male,14.07,61.65,Low,10,No,10,10,No,3,No,10,2
2020,60-69,Both,27.67,18.54,Low,9,Yes,5,5,Yes,7,No,9,9
2022,80+,Female,34.06,13.2,Low,3,No,2,8,Yes,1,Yes,3,8
2023,80+,Male,9.07,41.83,Low,5,Yes,7,1,No,1,No,5,6
2024,10-14,Female,45.01,66.64,Middle,8,No,5,9,Yes,6,Yes,3,8
2024,40-49,Both,29.18,13.0,Low,5,No,8,4,No,6,No,6,2
2020,50-59,Both,17.64,17.39,High,3,Yes,3,8,Yes,3,Yes,6,6
2024,70-79,Female,47.37,55.21,Low,3,No,3,4,Yes,9,No,2,9
2023,20-24,Both,47.26,68.66,Middle,8,Yes,8,5,Yes,4,No,3,6
2023,10-14,Male,6.04,32.43,Middle,9,Yes,5,7,No,1,Yes,1,10
2022,30-39,Male,21.33,24.56,Low,10,Yes,5,8,Yes,7,Yes,7,6
2023,80+,Female,7.61,53.29,High,2,No,4,10,Yes,10,No,7,2
2020,10-14,Both,36.69,18.15,Middle,6,Yes,10,8,No,3,No,7,9
2023,50-59,Female,26.41,37.02,Middle,7,No,2,6,Yes,9,Yes,6,6
2021,40-49,Male,9.89,11.74,Low,10,Yes,1,7,No,3,No,1,3
2024,25-29,Female,7.35,26.55,High,7,No,4,6,Yes,1,No,8,1
2020,50-59,Female,34.26,30.76,High,6,Yes,1,8,Yes,2,No,8,10
2024,40-49,Female,22.4,49.77,Low,3,Yes,10,6,No,1,Yes,8,8
2022,80+,Female,40.32,33.32,Low,1,Yes,7,7,Yes,9,No,7,10
2022,60-69,Both,6.31,29.06,High,5,Yes,4,4,Yes,9,Yes,8,5
2023,15-19,Female,43.02,64.54,Low,8,Yes,5,9,Yes,5,No,3,3
2021,60-69,Both,5.18,39.35,High,5,Yes,8,3,No,3,Yes,1,8
2021,30-39,Both,46.27,28.43,High,7,No,6,10,Yes,4,Yes,7,9
2023,60-69,Female,49.75,47.94,Low,4,No,5,9,Yes,1,No,2,10
2020,15-19,Both,37.98,55.6,Low,1,Yes,6,4,No,7,No,4,6
2022,40-49,Female,21.86,12.63,Middle,5,Yes,7,1,Yes,8,No,1,1
2024,20-24,Both,12.25,68.31,Middle,10,Yes,7,9,No,8,Yes,1,5
2020,20-24,Male,11.72,39.82,High,5,No,1,6,No,5,No,6,8
2022,60-69,Female,9.19,10.1,High,2,No,8,8,Yes,1,Yes,5,2
2020,25-29,Female,20.4,40.47,Middle,4,Yes,7,1,Yes,7,No,2,6
2021,25-29,Male,15.11,55.85,Middle,3,No,10,3,Yes,1,Yes,1,10
2022,80+,Male,12.55,51.98,Low,7,No,9,2,No,5,No,2,1
2022,20-24,Male,47.46,63.81,Low,6,No,3,8,No,6,No,5,8
2023,25-29,Female,46.68,13.77,Middle,7,Yes,7,7,Yes,5,No,2,10
2023,80+,Male,34.55,58.78,Middle,5,Yes,2,10,No,6,Yes,8,8
2024,50-59,Male,39.94,61.11,Low,6,Yes,6,8,No,1,No,10,5
2024,60-69,Male,42.08,46.08,Middle,4,Yes,2,5,Yes,6,Yes,1,8
2024,80+,Male,16.29,52.89,High,8,Yes,9,9,Yes,6,Yes,2,3
2021,15-19,Female,40.99,15.87,High,8,No,7,2,Yes,7,No,1,4
2023,50-59,Male,32.99,65.39,Low,8,No,8,4,No,1,Yes,1,2
2022,70-79,Both,20.86,57.0,Low,10,Yes,3,7,Yes,8,Yes,10,2
2021,50-59,Male,22.48,31.03,High,6,Yes,5,2,No,5,Yes,5,4
2022,70-79,Male,8.17,21.08,Middle,8,Yes,4,8,No,8,Yes,10,8
2022,70-79,Both,5.31,14.5,Middle,6,No,5,4,No,6,Yes,1,3
2022,15-19,Female,28.67,17.42,High,4,No,10,10,No,1,Yes,8,10
2020,20-24,Male,14.92,54.62,High,10,Yes,10,2,No,3,No,10,5
2021,60-69,Both,23.12,60.84,Low,10,No,4,9,No,10,No,7,6
2024,25-29,Female,44.69,34.95,Low,9,No,10,4,No,7,No,8,8
2023,10-14,Both,5.83,22.61,High,4,Yes,9,8,No,3,No,4,2
2021,80+,Male,20.1,16.47,Low,10,Yes,5,4,Yes,2,No,6,9
